Symbol,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
CL,-0.07513623385535206,-0.11852377118250373,0.0742442937531873,-0.03772232166649034,19.478901878070243,-0.19608764024238134,-0.25841208833642815,-0.04720082606449213,-0.05360612601757519,-1.5077767964402,0.2720085650811428,0.22159836464648863,-0.07010252858946778,-0.14337925692133888,0.032851817538557926
CMCSA,0.1885388860755635,-0.6237646598879562,-0.40235404966412597,-0.08689415681612053,-0.20764785707494998,-0.18262152780390178,-0.23905147378980954,-0.046074008024108416,-0.10529440737441381,-0.08175544088666784,0.29727697969751615,-1.0094443316905668,0.7429982263245519,-0.6265257873614071,-0.09710286028350483
CAG,-0.29734971260202997,-0.12821761069380092,-0.3601991756526609,0.07244408495289967,-0.21771503684484125,-0.29443106744461084,-0.3018821474127983,-0.046244494233328014,0.11559170518481257,-1.707187912826548,1.0300610035723428,-0.6577686385697422,-0.039341592297927865,-0.6678016155913263,-0.7157254469687067
COP,0.05426127845332846,-0.6099536596421788,-0.3147708191702035,-0.05411293338303374,-0.1932068405643779,0.030387887132047604,-0.0947601012253878,-0.044941473588010435,-0.09631973584322763,0.4074974144333247,0.47415588201212955,-1.3661284895240693,0.07447190502430166,-0.5860475596769936,0.34428177981390273
ED,-0.22456777895358151,-0.36653097276955354,-0.1354703742984813,-0.03046746074277441,-0.2157725758634454,-0.1259006299569727,-0.19485082548526517,-0.04391066982379076,-0.038655327659849394,-1.621394758102189,1.1248175583837425,-0.33336477431691575,-0.2178542061335983,-0.21915130874437885,-0.1284763400703645
STZ,-0.20048798706615556,1.217250761082549,-0.2174947129926286,-0.07937059733967437,-0.10100468556912691,-0.20873762465428636,0.15400553096795705,-0.04491342090533847,0.08237700969460802,-0.39710325284647335,-0.29021366013316363,-0.7565855078060723,-0.2507522783422841,0.0614046831372456,-0.6006397763887191
COO,-0.2730316586616863,0.7396817623932569,0.09186554403946483,-0.05599382325214527,-0.18519673168382145,-0.2626020744082046,-0.25110619605468526,-0.045102009034319976,-0.17220608244338015,-0.15131745823074264,-1.1809252753603232,0.04730923801882175,-0.2538836266217217,0.232091199875462,-0.3212522478602391
CPRT,-0.17333084874292373,0.14040241805814394,0.2240357885151222,-0.08152018576151614,-0.06067544679550855,-0.27892463493969494,-0.3365851357510769,-0.046795279546317486,-0.17220608244338015,0.5141591743609056,-1.19355948266851,-0.2816511476811158,-0.05212907221115393,1.2845251196702123,1.3683064355121117
GLW,-0.21479278258335946,1.5794661710528515,-0.09239975059117295,-0.07883320023421393,-0.16072083026933678,-0.31524233212226105,-0.3168592265903712,-0.04652136891834127,0.2882913466351437,-0.019149625277000763,0.6763031989431161,0.9838590293722885,-0.001203931005376519,-0.3032981662952285,-0.76129875700342
CPAY,-0.26492393130332376,-0.23496206903202968,-0.2247024867584924,-0.08689415681612053,-0.006827872053494721,0.2258505494966448,0.408250582372609,-0.045111218782970766,-0.17220608244338015,0.40981614834479363,-1.19355948266851,0.201091190291769,-0.2912295734302654,0.5064657875294175,0.9402292806313121
CTVA,-0.2117723178704209,0.35243284219915916,-0.16789923523290098,-0.07910189878694415,-0.21823632906918822,-0.2846375311257166,-0.2792338813393953,-0.04528742138790464,-0.06570517436588719,-0.6336141118163274,-0.44814125148549694,-0.5493881700954798,-0.15346655340543797,-0.5443729311743216,-0.6284447087116707
CSGP,-0.24157510148087327,3.1421194417868574,1.1201992589962968,0.10656880114963754,-0.1409349603518411,-0.3148342681089738,-0.3552151610695212,-0.04625243367182008,-0.17220608244338015,-0.5408647553575613,-1.19355948266851,-0.8656354559654271,-0.1885980785736626,1.118424806068654,-0.4144061684436402
COST,0.937570396085271,0.554680817489897,0.6333295391472678,0.012255609141330491,0.22645879648156256,0.33929234519050294,0.3161963396226488,-0.0443872478516744,-0.11699503874028132,-0.6034705709672283,-0.7513622268819768,0.6963771280546593,-0.2078559749323706,-0.7381898637322029,-0.8082102872060466
CTRA,-0.2860503233061169,-0.5527481688499929,-0.40218969398108784,-0.0989855916889804,-0.22579470798192494,-0.2654585225012154,-0.3091880396945411,-0.04627688714237564,-0.07281362245375293,-1.9692048448225627,1.4912095703211556,-1.4237375571884237,0.02271762494153856,-0.3505559986164403,0.7279751256123442
CRWD,-0.1004087992883571,11.148170005093968,1.393499404538154,-0.0178386287644541,0.5075192455123771,-0.3074891158698031,-0.24453089300111672,-0.0465927709351799,-0.17220608244338015,0.11765567549967995,-1.19355948266851,0.8470401545415542,0.1269500134828798,2.972447274096617,-0.6636097701789327
CCI,-0.18032019709151997,0.23768388680198674,0.5060225327377726,-0.28949286557470605,-0.003524151503417493,-0.22465212117248948,-0.29713331742966537,-0.04652110427039153,0.30861018497479537,-0.42724679369557245,1.3332819789688224,-0.15569070574386404,-0.18251026127127679,1.3329793528096827,0.3153617507532187
CSX,-0.11776083756062586,-0.3926482774826004,-0.19058917542437714,-0.07050354509957713,-0.1033792577559233,-0.2613778823683428,-0.3227039404157654,-0.046864405590788395,-0.11949033467672975,0.3286604614433733,-0.3912873185986569,-0.43855478253151037,0.30312751926366643,0.13378693264188654,0.805442269129946
